# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	5530
#@/user_id	21c2c11f-05e4-41a3-a138-35b0c9d61648
a 	啊	c=5 d=1.46884 t=5530
fa gei 	发给	c=1 d=0.591555 t=5530
fa gei wo 	发给我	c=1 d=0.621885 t=5530
fa ni 	发你	c=1 d=0.551563 t=5530
fa sheng 	发生	c=2 d=0.981044 t=5530
fa sheng chong tu 	发生冲突	c=1 d=0.25284 t=5530
fa sheng le 	发生了	c=2 d=0.879964 t=5530
fa wo ba 	发我把	c=1 d=0.529935 t=5530
fa xia 	发下	c=1 d=0.494109 t=5530
fa xing ban 	发行版	c=3 d=2.88824 t=5530
fa zi 	法子	c=1 d=0.532592 t=5530
fan 	反	c=1 d=0.970446 t=5530
fan 	翻	c=1 d=0.715338 t=5530
fan fan 	翻翻	c=0 d=0.0755784 t=5530
fan fan ji lu 	翻翻记录	c=1 d=0.759572 t=5530
fan hui 	返回	c=11 d=2.62891 t=5530
fan kui 	反馈	c=0 d=0.0740818 t=5530
fan ti 	繁体	c=12 d=7.94838 t=5530
fan yi 	翻译	c=7 d=1.63743 t=5530
fan yi fu wu 	翻译服务	c=3 d=0.991804 t=5530
fan yi fu wu na bian 	翻译服务那边	c=1 d=0.551563 t=5530
fan yi jie guo 	翻译结果	c=1 d=0.50409 t=5530
fang 	放	c=1 d=0.937067 t=5530
fang an 	方案	c=6 d=1.8522 t=5530
fang bian 	方便	c=3 d=1.09823 t=5530
fang da 	放大	c=1 d=0.631284 t=5530
fang fa 	方法	c=8 d=4.0634 t=5530
fang huo qiang 	防火墙	c=2 d=0.688038 t=5530
fang kai le 	放开了	c=1 d=0.479505 t=5530
fang kuai 	方块	c=1 d=0.690734 t=5530
fang ru 	放入	c=1 d=1.0203 t=5530
fang ru dao 	放入到	c=1 d=0.927743 t=5530
fang shi 	方式	c=6 d=1.86286 t=5530
fang wen 	访问	c=3 d=1.29246 t=5530
fang wen dao 	访问到	c=1 d=0.465334 t=5530
fang wen liang 	访问量	c=1 d=0.771052 t=5530
fang xiang 	方向	c=1 d=0.524663 t=5530
fang xiang jian 	方向键	c=1 d=0.597501 t=5530
fen fa 	分发	c=1 d=0.634448 t=5530
fen ge 	分割	c=1 d=0.465334 t=5530
fen kai 	分开	c=1 d=0.191092 t=5530
fen qu 	分区	c=1 d=0.960789 t=5530
fen xi 	分析	c=1 d=0.825227 t=5530
fen xi xia 	分析下	c=5 d=2.29498 t=5530
fen zhi 	分支	c=13 d=4.81844 t=5530
fen zhi shang 	分支上	c=1 d=0.878095 t=5530
fen zhong 	分钟	c=1 d=0.810584 t=5530
fen zu 	分组	c=1 d=0.690734 t=5530
feng 	风	c=1 d=0.97531 t=5530
feng kuang 	疯狂	c=1 d=0.985112 t=5530
feng zhuang 	封装	c=1 d=0.67032 t=5530
fou 	否	c=1 d=0.839457 t=5530
fu dong 	浮动	c=2 d=1.28443 t=5530
fu wu 	服务	c=4 d=2.61023 t=5530
fu wu de 	服务的	c=1 d=0.847894 t=5530
fu wu duan 	服务端	c=10 d=3.40743 t=5530
fu wu qi 	服务器	c=3 d=1.35631 t=5530
fu xian 	复现	c=4 d=1.2894 t=5530
fu zai 	负载	c=1 d=0.831104 t=5530
fu zhi 	复制	c=5 d=1.99163 t=5530
gai 	改	c=22 d=4.87281 t=5530
gai 	该	c=6 d=2.01803 t=5530
gai bu gai 	该不该	c=1 d=0.479505 t=5530
gai cheng 	改成	c=3 d=0.947813 t=5530
gai chi fan 	该吃饭	c=1 d=0.985112 t=5530
gai dian 	改点	c=1 d=0.790571 t=5530
gai dong 	改动	c=1 d=0.70822 t=5530
gai gai 	改改	c=1 d=0.822835 t=5530
gai le 	改了	c=3 d=1.53219 t=5530
gai wan 	改完	c=3 d=0.748264 t=5530
gai xia 	改下	c=1 d=0.690734 t=5530
gai zao 	改造	c=3 d=2.36294 t=5530
gai zen me 	该怎么	c=1 d=0.752014 t=5530
gan 	干	c=3 d=1.47093 t=5530
gan bu liao 	干不了	c=0 d=0.0955997 t=5530
gan fan 	干饭	c=1 d=0.869358 t=5530
gan huo 	干活	c=0 d=0.0873716 t=5530
gan huo zhong 	干活中	c=1 d=0.878095 t=5530
gan jue 	感觉	c=4 d=2.3726 t=5530
gan ma 	干嘛	c=3 d=1.87855 t=5530
gan shen me 	干什么	c=5 d=1.73504 t=5530
gan xie 	感谢	c=1 d=0.474734 t=5530
gan zhi 	感知	c=1 d=0.913931 t=5530
gang 	刚	c=2 d=1.23533 t=5530
gang cai 	刚才	c=1 d=0.535261 t=5530
gang chi fan 	刚吃饭	c=1 d=0.585669 t=5530
gang ge 	刚哥	c=3 d=1.14685 t=5530
gang kai shi 	刚开始	c=1 d=0.869358 t=5530
gang kan dao 	刚看到	c=1 d=0.677057 t=5530
gang zhun bei 	刚准备	c=1 d=0.50409 t=5530
gao 	搞	c=4 d=0.848045 t=5530
gao bu ding 	搞不定	c=1 d=0.65377 t=5530
gao chu lai 	搞出来	c=1 d=0.900325 t=5530
gao cuo le 	搞错了	c=1 d=0.362402 t=5530
gao ji huo 	高级货	c=1 d=0.379083 t=5530
ge 	个	c=10 d=3.51465 t=5530
ge 	哥	c=4 d=1.09421 t=5530
ge shi 	格式	c=4 d=1.36163 t=5530
ge shi hua 	格式化	c=2 d=1.89307 t=5530
gei 	给	c=6 d=2.1705 t=5530
gei de 	给的	c=1 d=0.554327 t=5530
gei huan le 	给换了	c=1 d=0.486752 t=5530
gei le 	给了	c=1 d=0.904837 t=5530
gei ni 	给你	c=1 d=0.636105 t=5530
gei ni shuo 	给你说	c=1 d=0.460704 t=5530
gei nin 	给您	c=0 d=0.0755784 t=5530
gei nin shuo 	给您说	c=1 d=0.759572 t=5530
gei ta 	给他	c=1 d=1.01889 t=5530
gei ta men 	给他们	c=1 d=0.818731 t=5530
gei ta shuo le 	给他说了	c=1 d=0.869358 t=5530
